Given_ID_Clean,Presumed_ID_Clean,uncertain
zylphia,,?
zeal apple,,?
york sweeting,,?
york sweet,,?
york russett,pumpkin russet,
york russeting,pumpkin russet,
york russet,pumpkin russet,
york russet,pumpkin russet,
york pippin,,?
york imperial,york imperial,
york imp.,york imperial,
york greening,,?
yellow transport,yellow transparent,
yellow transparent crab,transcendent crab,
yellow transparent,yellow transparent,
yellow transparent,yellow transparent,
yellow transcendent crab,transcendent crab,
yellow sweet bough,sweet bough,
yellow sweet,sweet bough,
yellow strawberry,chenango strawberry,
yellow siberian crab,yellow siberian crab,
yellow siberian,yellow siberian crab,
yellow russet,,?
yellow porter,,?
yellow pearmaine,SEE clarke or golden pearmain ,
yellow nonesuch,,?
yellow flat,winthrop greening ,
yellow favorite,,?
yellow delicious,yellow delicious,
yellow bough,sweet bough,
yellow bellflower,yellow bellflower,
yellow bellflower,yellow bellflower,
yellow bellfleur,yellow bellflower,
yellow belleflower,yellow bellflower,
yellow belleflower,yellow bellflower,
yellow bellefleur,yellow bellflower,
yellow bell flower,yellow bellflower,
yellow bell flower,yellow bellflower,
yellow,,?
yarmouth cathead,,?
worthley,wealthy,
world's wonder,world wonder,
worden seckel,worden seckel,
worcester russet,worcester sweet russet,
worcester apple,,?
woodpecker,baldwin,
woodcock,,?
woodbury,,?
wood sweet,wood sweet,
wonder sickel,worden seckel,
wolfe river,wolf river,
wolfe river,wolf river,
wolfbridge,walbridge,
wolf river,wolf river,
wolf river,wolf river,
wolf,wolf river,
wismer's dessert,wismer,
winthrop seedling,winthrop greening ,
winthrop greening,winthrop greening ,
winthrop greening,winthrop greening ,
winthrop favorite,winthrop greening ,
winterport greening,fall harvey,
winter wagner,,?
winter sweeting,danvers winter sweet,?
winter sweet russett,,?
winter sweet russet,,?
winter sweet,danvers winter sweet,?
winter sweet,danvers winter sweet,?
winter strawberry,,?
winter seneca,,?
winter russett,,?
winter russet,,?
winter red sweet,,?
winter queen,,?
winter porter,,?
winter pippin,winter pippin,?
winter pearmain,winter pearmain ,?
winter niles,winter nelis,
winter nellis,winter nelis,
winter nellie,winter nelis,
winter nelis,winter nelis,
winter mills,winter nelis,
winter mcintosh,,?
winter jeunette,ralls jenneting ,?
winter jennetting,ralls jenneting,?
winter jennette,ralls jenneting,?
winter harvey,winter harvey,?
winter greening,winter greening,?
winter gravenstein,milding,
winter genitan,ralls jenneting,?
winter favorite,,?
winter crop,,?
winter crab,,?
winter calvert,calville blanc d'hiver,?
winter bough,winter bough,?
winter bells,,?
winter bellflower,,?
winter bell-flower,,?
winter bell,,?
winter bartlett,,?
winter banana,winter banana,
winter banana,winter banana,
winter baldwin,,?
winter astrachan,,?
winter,,?
winslow proof,,?
winsap,winesap,
winn russet,winn russet,
winn,winn russet,
winesop,,?
winesaps,winesap,
winesap,winesap,
winesap,winesap,
wine sops,sops of wine,
wine sap,winesap,
wine of corea,,?
wine apple,wine,
wine apple,wine,
wine,wine,
wine,wine,
winchester greening,winthrop greening ,
win's favorite,william's favorite,
wilson red june,wilson red june,
willow twig,willow twig,
willow belflower,yellow bellflower,
willow,willow,?
williams' favorite,william's favorite,
williams favorite,william's favorite,
williams favorite,william's favorite,
williams favorite,william's favorite,
williams,william's favorite,
williams,william's favorite,
william's favorite,william's favorite,
william's favorite,william's favorite,
william's early,william's favorite,
william farmer,william's favorite,
william,william's favorite,
wilkin's beauty,,?
wilding,milden,
whittier sweet,,?
whitelip,,?
whitefield,,?
white winter sweet,,?
white winter pear main,white pearmain,?
white winter,,?
white sweet,white sweet,?
white russet,,?
white rambo,white rambo,?
white pippin,,?
white pearmain,white winter pearmain,?
white loaf,white loaf,?
white juneating,white juneating,?
white graft,fall orange,
white giant,,?
white elephant,,?
white doyenne,,?
white crab,,?
white beauty,,?
white baldwin,,?
white astrachan,white astrachan,?
white ash,,?
white apple,,?
white,,?
whig,,?
wheatloaf,,?
wheatley,wealthy,
wheat loaves,,?
westfish seek no further,westfield seek no farther,
western apple,,?
wels apple,,?
well apple,,?
welch sweeting,,?
wealthy,wealthy,
wealthy,wealthy,
wealthty,wealthy,
wax,,?
watertown sweets,,?
watertown sweet,,?
watermelon,water-melon,?
water core sweet,,?
water core apple,,?
water core,,?
washington sweet,pumpkin russet,?
washington strawberry,washington strawberry,
washington red,,?
washington pippin,,?
washington greening,washington royal,?
washington co. strawberry,washington strawberry,
washington baldwin,red canada,?
washington apple,washington strawberry,?
washington,washington strawberry,?
warren winter,,?
warren russet,roxbury russet,
warren greening,,?
wannofsky,tetofski,
walpole ledgings,,?
wallflower,,?
wallbridge,walbridge,
wallbridge,walbridge,
walker's beauty,walker beauty,?
walker sweet,SEE evans,?
walker beauty,walker beauty,?
waldridge,walbridge,?
walbridge,walbridge,?
walbridge,walbridge,
wagner greening,,?
wagner,wagener,
wagner,wagener,
wagner,wagener,
wagener,wagener,
wagener,wagener,
wagence,wagener,
w. greening,,?
vura,vicar of winkfield,
vose sweet,,?
volkie,,?
victuals and drink,,?
victoria,,?
victor,,?
vicar of winkfield,vicar of winkfield,
vicar of winckfield,vicar of winkfield,
vicar of wakefield,vicar of winkfield,
vicar of wakefield,vicar of winkfield,
vicar,vicar of winkfield,
vicar,vicar of winkfield,
vica of wakefield,vicar of winkfield,
vica,vicar of winkfield,
veromi,benoni,
vermont sweeting,,?
vermont sweet,,?
vermont greening,,?
vermont beauty,,?
vermont baldwin,,?
vermont,,?
vaughn,,?
vandivere,smokehouse,
vandevere,smokehouse,
van wick sweet crab,van wyck crab,
van dyke crab,van wyck crab,
vail baker,,?
urbaniste,urbaniste,
urbanist,urbaniste,
unnamed,,?
union russet,union russet,
union russet,union russet,
union russet,union russet,
union pippin,union pippin,
union pippin,union pippin,
union greening,,?
union,,?
uncle thomas,,?
tyson,tyson,
tyron,tyson,
tyler,,?
two ounce,twenty ounce,
twin apple,,?
twigged greening,,?
twig russett,golden russet of western new york,
twenty—ounce,twenty ounce,
twenty-ounce stripe,,?
twenty-ounce,twenty ounce,
twenty-ounce,twenty ounce,
twenty oz.,twenty ounce,
twenty ounce sweet,,?
twenty ounce pippins,twenty ounce pippin,
twenty ounce pippin,twenty ounce pippin,
twenty ounce pippin,twenty ounce pippin,
twenty ounce pippin,twenty ounce pippin,
twenty ounce n. y. pippin,twenty ounce pippin,?
twenty ounce greening,,?
twenty ounce,twenty ounce,
twenty ounce,twenty ounce,
twenty ounce,twenty ounce,
twentieth century,,?
twelve oz.,,?
tuscarora,,?
true's beauty,,?
troop favorite,,?
trenhausen,,?
transparent crab,transcendent crab,
transparent,yellow transparent,
translucent crab,transcendent crab,
transendent,transcendent crab,
transcendent crab,transcendent crab,
transcendent crab,transcendent crab,
transcendent,transcendent crab,
transcendant crab,transcendent crab,
townsend,,?
touch me not,,?
total,,?
tompkins kings,king of tompkins county,
tompkins king,king of tompkins county,
tompkins king,king of tompkins county,
tompkins,king of tompkins county,
tompkin,king of tompkins county,
tomkin,king of tompkins county,
tomato crab,,?
tomato,,?
tolman's sweet,tolman sweet,
tolman sweeting,tolman sweet,
tolman sweet,tolman sweet,
tolman sweet,tolman sweet,
tolman,tolman sweet,
tollman sweet,tolman sweet,
tippecanoe,,?
tillman sweet,tolman sweet,
three sweet,,?
thomson sweet,,?
thompson sweet,,?
thompson,,?
thompkins,king of tompkins county,
thompkin king,king of tompkins county,
thomas sweet,,?
theobold sweet,,?
theabald,,?
the stripes,,?
thatcher,,?
tetopsky,tetofski,
tetopskey,tetofski,
tetophsky,tetofski,
tetofsky,tetofski,
tetofsky,tetofski,
tetanakee,tetofski,
terston russet,,?
telephone,,?
taylor,,?
talmon sweet,tolman sweet,
talman's sweet,tolman sweet,
talman sweeting,tolman sweet,
talman sweet,tolman sweet,
talman sweet,tolman sweet,
tallman sweet,tolman sweet,
tallman sweet,tolman sweet,
tallam sweets,tolman sweet,
syracuse beauty,,?
sycle,,?
swoon,,?
sweeting,,?
sweetburg,,?
sweet wagner,,?
sweet van wyck crab,,?
sweet sixteen,,?
