Given_ID_Clean,Final ID,Missing ID or ID Uncertain,duplicated
zylphia,,?,False
zeal apple,,?,False
york sweeting,,?,False
york sweet,,?,False
york russett,pumpkin russet,,False
york russeting,pumpkin russet,,False
york russet,pumpkin russet,,False
york pippin,,?,False
york imperial,york imperial,,False
york imp.,york imperial,,False
york greening,,?,False
yellow transport,yellow transparent,,False
yellow transparent crab,transcendent crab,,False
yellow transparent,yellow transparent,,False
yellow transcendent crab,transcendent crab,,False
yellow sweet bough,sweet bough,,False
yellow sweet,sweet bough,,False
yellow strawberry,chenango strawberry,,False
yellow siberian crab,yellow siberian crab,,False
yellow siberian,yellow siberian crab,,False
yellow russet,,?,False
yellow porter,,?,False
yellow pearmaine,see clarke or golden pearmain,,False
yellow nonesuch,,?,False
yellow flat,winthrop greening,,False
yellow favorite,,?,False
yellow delicious,yellow delicious,,False
yellow bough,sweet bough,,False
yellow bellflower,yellow bellflower,,False
yellow bellfleur,yellow bellflower,,False
yellow belleflower,yellow bellflower,,False
yellow bellefleur,yellow bellflower,,False
yellow bell flower,yellow bellflower,,False
yellow,,?,False
yarmouth cathead,,?,False
worthley,wealthy,,False
world's wonder,world wonder,,False
worden seckel,worden seckel,,False
worcester russet,worcester sweet russet,,False
worcester apple,,?,False
woodpecker,baldwin,,False
woodcock,,?,False
woodbury,,?,False
wood sweet,wood sweet,,False
wonder sickel,worden seckel,,False
wolfe river,wolf river,,False
wolfbridge,walbridge,,False
wolf river,wolf river,,False
wolf,wolf river,,False
wismer's dessert,wismer,,False
winthrop seedling,winthrop greening,,False
winthrop greening,winthrop greening,,False
winthrop favorite,winthrop greening,,False
winterport greening,fall harvey,,False
winter wagner,,?,False
winter sweeting,danvers winter sweet,?,False
winter sweet russett,,?,False
winter sweet russet,,?,False
winter sweet,danvers winter sweet,?,False
winter strawberry,,?,False
winter seneca,,?,False
winter russett,,?,False
winter russet,,?,False
winter red sweet,,?,False
winter queen,,?,False
winter porter,,?,False
winter pippin,winter pippin,?,False
winter pearmain,winter pearmain,?,False
winter niles,winter nelis,,False
winter nellis,winter nelis,,False
winter nellie,winter nelis,,False
winter nelis,winter nelis,,False
winter mills,winter nelis,,False
winter mcintosh,,?,False
winter jeunette,ralls jenneting,?,False
winter jennetting,ralls jenneting,?,False
winter jennette,ralls jenneting,?,False
winter harvey,winter harvey,?,False
winter greening,winter greening,?,False
winter gravenstein,milding,,False
winter genitan,ralls jenneting,?,False
winter favorite,,?,False
winter crop,,?,False
winter crab,,?,False
winter calvert,calville blanc d'hiver,?,False
winter bough,winter bough,?,False
winter bells,,?,False
winter bellflower,,?,False
winter bell-flower,,?,False
winter bell,,?,False
winter bartlett,,?,False
winter banana,winter banana,,False
winter baldwin,,?,False
winter astrachan,,?,False
winter,,?,False
winslow proof,,?,False
winsap,winesap,,False
winn russet,winn russet,,False
winn,winn russet,,False
winesop,,?,False
winesaps,winesap,,False
winesap,winesap,,False
wine sops,sops of wine,,False
wine sap,winesap,,False
wine of corea,,?,False
wine apple,wine,,False
wine,wine,,False
winchester greening,winthrop greening,,False
win's favorite,william's favorite,,False
wilson red june,wilson red june,,False
willow twig,willow twig,,False
willow belflower,yellow bellflower,,False
willow,willow,?,False
williams' favorite,william's favorite,,False
williams favorite,william's favorite,,False
williams,william's favorite,,False
william's favorite,william's favorite,,False
william's early,william's favorite,,False
william farmer,william's favorite,,False
william,william's favorite,,False
wilkin's beauty,,?,False
wilding,milden,,False
whittier sweet,,?,False
whitelip,,?,False
whitefield,,?,False
white winter sweet,,?,False
white winter pear main,white pearmain,?,False
white winter,,?,False
white sweet,white sweet,?,False
white russet,,?,False
white rambo,white rambo,?,False
white pippin,,?,False
white pearmain,white winter pearmain,?,False
white loaf,white loaf,?,False
white juneating,white juneating,?,False
white graft,fall orange,,False
white giant,,?,False
white elephant,,?,False
white doyenne,,?,False
white crab,,?,False
white beauty,,?,False
white baldwin,,?,False
white astrachan,white astrachan,?,False
white ash,,?,False
white apple,,?,False
white,,?,False
whig,,?,False
wheatloaf,,?,False
wheatley,wealthy,,False
wheat loaves,,?,False
westfish seek no further,westfield seek no farther,,False
western apple,,?,False
wels apple,,?,False
well apple,,?,False
welch sweeting,,?,False
wealthy,wealthy,,False
wealthty,wealthy,,False
wax,,?,False
watertown sweets,,?,False
watertown sweet,,?,False
watermelon,water-melon,?,False
water core sweet,,?,False
water core apple,,?,False
water core,,?,False
washington sweet,pumpkin russet,?,False
washington strawberry,washington strawberry,,False
washington red,,?,False
washington pippin,,?,False
washington greening,washington royal,?,False
washington co. strawberry,washington strawberry,,False
washington baldwin,red canada,?,False
washington apple,washington strawberry,?,False
washington,washington strawberry,?,False
warren winter,,?,False
warren russet,roxbury russet,,False
warren greening,,?,False
wannofsky,tetofski,,False
walpole ledgings,,?,False
wallflower,,?,False
wallbridge,walbridge,,False
walker's beauty,walker beauty,?,False
walker sweet,see evans,?,False
walker beauty,walker beauty,?,False
waldridge,walbridge,?,False
walbridge,walbridge,?,True
walbridge,walbridge,,True
wagner greening,,?,False
wagner,wagener,,False
wagener,wagener,,False
wagence,wagener,,False
w. greening,,?,False
vura,vicar of winkfield,,False
vose sweet,,?,False
volkie,,?,False
victuals and drink,,?,False
victoria,,?,False
victor,,?,False
vicar of winkfield,vicar of winkfield,,False
vicar of winckfield,vicar of winkfield,,False
vicar of wakefield,vicar of winkfield,,False
vicar,vicar of winkfield,,False
vica of wakefield,vicar of winkfield,,False
vica,vicar of winkfield,,False
veromi,benoni,,False
vermont sweeting,,?,False
vermont sweet,,?,False
vermont greening,,?,False
vermont beauty,,?,False
vermont baldwin,,?,False
vermont,,?,False
vaughn,,?,False
vandivere,smokehouse,,False
vandevere,smokehouse,,False
van wick sweet crab,van wyck crab,,False
van dyke crab,van wyck crab,,False
vail baker,,?,False
urbaniste,urbaniste,,False
urbanist,urbaniste,,False
unnamed,,?,False
union russet,union russet,,False
union pippin,union pippin,,False
union greening,,?,False
union,,?,False
uncle thomas,,?,False
tyson,tyson,,False
tyron,tyson,,False
tyler,,?,False
two ounce,twenty ounce,,False
twin apple,,?,False
twigged greening,,?,False
twig russett,golden russet of western new york,,False
twenty—ounce,twenty ounce,,False
twenty-ounce stripe,,?,False
twenty-ounce,twenty ounce,,False
twenty oz.,twenty ounce,,False
twenty ounce sweet,,?,False
twenty ounce pippins,twenty ounce pippin,,False
