Given_ID,Presumed_ID
pearmain,
porter,porter
(pear) flemish beauty,
baldwin,baldwin
fall pippin,
french russet,
pippin,
red astrachan,red astrachan
golden russet,
sweet russet,
gale's pippin,
jersey sweet,jersey sweet
northern spy,northern spy
r. i. greening,rhode island greening
rochester baldwin,
russian sweet,
sweet baldwin,sweet baldwin
watertown sweets,
(pear) bonne de jersey,
(pear) vicar of wakefield,
black oxford,black oxford
duchess of oldenberg,duchess of oldenburg
fall greening,
fletcher sweet,fletcher sweet
gravenstein,gravenstein
greening,
hubbardston nonsuch,hubbardston
nod head,nodhead
philadelphia pippin,
roxbury russet,roxbury russet
yellow bellflower,yellow bellflower
union pippin,union pippin
alexander,alexander
ben davis,ben davis
blue pearmain,blue pearmain
chenango strakeberry,chenango strawberry
colvert,colvert
famuese,fameuse
forsett graft,
gloria munch,gloria mundi
hart's red,
hilton,
italian russet,italian russet
jeffries,jeffries
martha stripe,lyscom
mcintosh red,mcintosh
moore's sweet,
mother,mother
mountain sweet,
n. y. greening,
n. y. pippin,
newtown pippin,
red bellflower,
red winter,
russet,
sherwood's favorite,chenango strawberry
spice,
spitzbergen,esopus spitzenburg
striped pippin,
summer sweet,
talman sweet,tolman sweet
tompkins king,king of tompkins county
twenty ounce,twenty ounce
union russet,union russet
wagner,wagener
white rambo,
william's favorite,william's favorite
winter greening,
yellow strawberry,chenango strawberry
(pear) buerre de anjou,
(pear) clapps favorite,
benoni,benoni
common russet,
marengo crab,
peck's pleasant,peck pleasant
haas,haas
hard to beat,
newton pippin,
ribston pippin,ribston pippin
strawberry,
(pear) barltett,
barton pippin,
hunt's red,
thompson,
twenty ounce pippin,
(pear) beurre bosc,
(pear) beurre clairgeau,
(pear) beurre hardy,
alexandria,alexander
cathead,
early harvest,early harvest
golden sweet,
minister,minister
stump,stump
swaar,swaar
sweet porter,
wealthy,wealthy
winthrop greening,winthrop greening
(pear) bell lucrative,
(pear) howell,
(pear) louise bonnie,
(pear) seckel,
(pear) sheldon,
bell's early,sops of wine
maiden blush,maiden blush
pewaukee,pewaukee
wagence,wagener
(pear) duchess,
(pear) duchesse d'angouleme,
(pear) orange,
(pear) pratt,
(pear) rockland beauty,
early strawberry,early strawberry
fall geneting,fall jenneting
fall harvey,
munson sweet,munson sweet
oxford,black oxford
pumpkin sweet,pumpkin russet
sweet bough,sweet bough
(pear) michigan early harvest,
fall porter,
somerset,somerset
(pear) brinkles orange,
(pear) lawrence,
hyslop crab,hyslop crab
st. lawrence,st. lawrence
baldwin,
ben davis,
black oxford,
famuse,
gano,
gravenstein,
hubbardston,
king,
northern spy,
st. lawrence,
stark,
tolman sweet,
wealthy,
wolf river,
duchess of oldenburg,
fletcher sweet,
new york pippin,
red astracan,
red beterheimer,
union pippin,
wagener,
william's favorite,
beverage,
alexander,
fall greening,fall harvey
pippin,fall pippin
fall pippin,fall pippin
baking sweet,baker sweet
blue oxford,black oxford
union russet,union pippin
hubbardston,hubbardston nonesuch
rhode island greening,rhode island greening
cathead russet,kavanagh russet
cummings sweet,cummings sweet
head russet,kavanagh russet
imperial sweet,
hurlburt,hurlbut
nod head,jewetts red
twenty ounce pippin,twenty ounce pippin
philadelphia pippin,fall pippin
seek-no-further,westfield seek-no-further
favorite,william's favorite
kimball,winthrop greening
n. y. jinctuer,
spice,spice sweet
warren winter,
pound sweet,lyman's pumpkin sweet
r. i. pippin,
raleigh,
golden greening,
jennet's red,jewetts red
fameuse,fameuse
newtown pippin,newton pippin
fall gentian,fall jenneting
winter sweet,
river,river
vose sweet,
fallawater,fallawater
stark,stark
common russets,
primate,primate
lake,lake
orange sweet,orange sweet
garden royal,garden royal
tippecanoe,
duchess of oldenberg,duchess of oldenberg
potter's sweet,leicester sweet
early joe,early joe
excelsior,
fall spy,fall spy
magog redstreak,magog redstreak
strawberry sweet,cummings sweet
striped bell's early,
wallbridge,walbridge
n. y. geneting,
ohio pippin,
granite beauty,granite beauty
lyscom,lyscom
striped graft,
harvey,fall harvey
golden pippin,
monmouth pippin,monmouth
gano,gano
bethel,bethel
holly,holly or hawley
prolific,
eureka red streak,twenty ounce
spitzenberg,esopus spitzenberg
longfellow,
salome,salome
milding,milden
grimes golden,grimes golden
english russett,english russet
fountain,
improved fameuse,
king sweet,
pearmain,blue pearmain
