Given_ID,Presumed_ID
(pear) adelaide,
(pear) anglo,
(pear) anjon,
(pear) anjou,
(pear) assumption,
(pear) b. d. anjou,
(pear) b. de anjou,
(pear) banfee,
(pear) bare basque,
(pear) barltett,
(pear) bartlett,
(pear) bartlett,(pear) bartlett
(pear) be-an-jean,
(pear) beangrau,
(pear) beau ambjean,
(pear) beau ideal,
(pear) beaurre d'anjou,
(pear) beauty,
(pear) beauty flemish,
(pear) bell,
(pear) bell l.,
(pear) bell lucrative,
(pear) bell lucrative,(pear) belle lucrative
(pear) belle et bonne,
(pear) belle lucrative,
(pear) belle lucrative,(pear) belle lucrative
(pear) belle of lancaster,
(pear) belle sue,
(pear) benne clairglaw,
(pear) benson's superfine,
(pear) berewe rose,
(pear) bergamont sylvange,
(pear) beune d'anjire,
(pear) beureayor,
(pear) beurre bass,
(pear) beurre bos,(pear) beurre bosc
(pear) beurre bosc,
(pear) beurre bosc,(pear) buerre bosc
(pear) beurre clairgeau,
(pear) beurre clargeau,
(pear) beurre clarigeau,
(pear) beurre claugean,(pear) beurre clairgeau
(pear) beurre d. tryon,
(pear) beurre d' anjou,
(pear) beurre d'amalis,
(pear) beurre d'anjou,
(pear) beurre d'anjou,(pear) beurre d'anjou
(pear) beurre d'augin,(pear) beurre d'anjou
(pear) beurre de anjou,
(pear) beurre de aryon,
(pear) beurre diel,
(pear) beurre diel,(pear) beurre diel
(pear) beurre dill,
(pear) beurre hardy,
(pear) beurre rose,
(pear) beurre soldat,
(pear) beurre superfine,
(pear) boise,
(pear) bonchreteen fondante,
(pear) bonne d'jersey,
(pear) bonne de jersey,
(pear) bonney de jersey,
(pear) bosc,
(pear) bouey de jersey,
(pear) boussock,
(pear) bran jean,
(pear) brandywine,
(pear) brinkles orange,
(pear) buell,
(pear) buerre arigon,(pear) buerre d'anjou
(pear) buerre charrgean,
(pear) buerre clairgeau,
(pear) buerre d'amanlis,
(pear) buerre d'anjou,
(pear) buerre d'aremburg,
(pear) buerre de anjou,
(pear) buerre hardy,
(pear) buerrer base,
(pear) buffam,
(pear) buffum,
(pear) buffum,(pear) buffum
(pear) burbank,
(pear) burre d'argou,
(pear) burre hardy,
(pear) burred' anjou,
