County,Fair,Year,IsApple,Given_ID,Given_ID_Clean,Alt_ID,Alt_ID_Clean,Presumed_ID,Presumed_ID_Clean,Uncertain
Knox,Knox Co.,1867,True,Pearmain,pearmain,,,,,False
Knox,Knox Co.,1867,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1869,False,(Pear) Flemish Beauty,flemish beauty,,,,,False
Knox,Knox Co.,1869,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1869,True,Fall Pippin,fall pippin,,,,,False
Knox,Knox Co.,1869,True,French Russet,french russet,,,,,False
Knox,Knox Co.,1869,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1869,True,Red Astrachan,red astrachan,,,Red Astrachan,red astrachan,False
Knox,Knox Co.,1874,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1874,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1874,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1874,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1874,True,Sweet Russet,sweet russet,,,,,False
Knox,Knox Co.,1876,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1876,True,Fall Pippin,fall pippin,,,,,False
Knox,Knox Co.,1876,True,Gale's Pippin,gale's pippin,,,,,False
Knox,Knox Co.,1876,True,Jersey Sweet,jersey sweet,,,Jersey Sweet,jersey sweet,False
Knox,Knox Co.,1876,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1876,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1876,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1876,True,Rochester Baldwin,rochester baldwin,,,,,False
Knox,Knox Co.,1876,True,Russian Sweet,russian sweet,,,,,False
Knox,Knox Co.,1876,True,Sweet Baldwin,sweet baldwin,,,Sweet Baldwin,sweet baldwin,False
Knox,Knox Co.,1876,True,Watertown Sweets,watertown sweets,,,,,False
Knox,Knox Co.,1878,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1878,False,(Pear) Flemish Beauty,flemish beauty,,,,,False
Knox,Knox Co.,1878,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1878,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1878,True,Black Oxford,black oxford,,,Black Oxford,black oxford,False
Knox,Knox Co.,1878,True,Duchess of Oldenberg,duchess of oldenberg,"Duchess, Dutchess of Oldenburg","duchess, dutchess of oldenburg",Duchess of Oldenburg,duchess of oldenburg,False
Knox,Knox Co.,1878,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1878,True,Fletcher Sweet,fletcher sweet,,,Fletcher Sweet,fletcher sweet,False
Knox,Knox Co.,1878,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1878,True,Gravenstein,gravenstein,,,Gravenstein,gravenstein,False
Knox,Knox Co.,1878,True,Greening,greening,,,,,False
Knox,Knox Co.,1878,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1878,True,Nod Head,nod head,Jewett's Red,jewett's red,Nodhead,nodhead,False
Knox,Knox Co.,1878,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1878,True,Philadelphia Pippin,philadelphia pippin,Phila. Pippin,phila. pippin,,,False
Knox,Knox Co.,1878,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1878,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1878,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1878,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1879,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1879,True,Duchess of Oldenberg,duchess of oldenberg,"Duchess, Dutchess of Oldenburg","duchess, dutchess of oldenburg",Duchess of Oldenburg,duchess of oldenburg,False
Knox,Knox Co.,1879,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1879,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1879,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1879,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1879,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1879,True,Union Pippin,union pippin,,,Union Pippin,union pippin,False
Knox,Knox Co.,1880,False,(Pear) Flemish Beauty,flemish beauty,,,,,False
Knox,Knox Co.,1880,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1880,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1880,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1880,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1880,True,Black Oxford,black oxford,,,Black Oxford,black oxford,False
Knox,Knox Co.,1880,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1880,True,Chenango Strakeberry,chenango strakeberry,,,Chenango Strawberry,chenango strawberry,False
Knox,Knox Co.,1880,True,Colvert,colvert,Colbert,colbert,Colvert,colvert,False
Knox,Knox Co.,1880,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1880,True,Fall Pippin,fall pippin,,,,,False
Knox,Knox Co.,1880,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1880,True,Fletcher Sweet,fletcher sweet,,,Fletcher Sweet,fletcher sweet,False
Knox,Knox Co.,1880,True,Forsett Graft,forsett graft,,,,,False
Knox,Knox Co.,1880,True,French Russet,french russet,,,,,False
Knox,Knox Co.,1880,True,Gloria Munch,gloria munch,,,Gloria Mundi,gloria mundi,False
Knox,Knox Co.,1880,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1880,True,Gravenstein,gravenstein,,,Gravenstein,gravenstein,False
Knox,Knox Co.,1880,True,Greening,greening,,,,,False
Knox,Knox Co.,1880,True,Hart's Red,hart's red,,,,,False
Knox,Knox Co.,1880,True,Hilton,hilton,,,,,False
Knox,Knox Co.,1880,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1880,True,Italian Russet,italian russet,,,Italian Russet,italian russet,False
Knox,Knox Co.,1880,True,Jeffries,jeffries,,,Jeffries,jeffries,False
Knox,Knox Co.,1880,True,Martha Stripe,martha stripe,,,Lyscom,lyscom,False
Knox,Knox Co.,1880,True,McIntosh Red,mcintosh red,,,McIntosh,mcintosh,False
Knox,Knox Co.,1880,True,Moore's Sweet,moore's sweet,,,,,False
Knox,Knox Co.,1880,True,Mother,mother,,,Mother,mother,False
Knox,Knox Co.,1880,True,Mountain Sweet,mountain sweet,,,,,False
Knox,Knox Co.,1880,True,N. Y. Greening,n. y. greening,,,,,False
Knox,Knox Co.,1880,True,N. Y. Pippin,n. y. pippin,,,,,False
Knox,Knox Co.,1880,True,Newtown Pippin,newtown pippin,,,,,False
Knox,Knox Co.,1880,True,Nod Head,nod head,Jewett's Red,jewett's red,Nodhead,nodhead,False
Knox,Knox Co.,1880,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1880,True,Pearmain,pearmain,,,,,False
Knox,Knox Co.,1880,True,Philadelphia Pippin,philadelphia pippin,Phila. Pippin,phila. pippin,,,False
Knox,Knox Co.,1880,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1880,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1880,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1880,True,Red Bellflower,red bellflower,,,,,False
Knox,Knox Co.,1880,True,Red Winter,red winter,,,,,False
Knox,Knox Co.,1880,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1880,True,Russet,russet,,,,,False
Knox,Knox Co.,1880,True,Sherwood's Favorite,sherwood's favorite,,,Chenango Strawberry,chenango strawberry,False
Knox,Knox Co.,1880,True,Spice,spice,,,,,False
Knox,Knox Co.,1880,True,Spitzbergen,spitzbergen,,,Esopus Spitzenburg,esopus spitzenburg,False
Knox,Knox Co.,1880,True,Striped Pippin,striped pippin,,,,,False
Knox,Knox Co.,1880,True,Summer Sweet,summer sweet,,,,,False
Knox,Knox Co.,1880,True,Talman Sweet,talman sweet,Tallman Sweet,tallman sweet,Tolman Sweet,tolman sweet,False
Knox,Knox Co.,1880,True,Tompkins King,tompkins king,"King, King of Tompkin's Co., ","king, king of tompkin's co.,",King of Tompkins County,king of tompkins county,False
Knox,Knox Co.,1880,True,Twenty Ounce,twenty ounce,,,Twenty Ounce,twenty ounce,False
Knox,Knox Co.,1880,True,Union Russet,union russet,,,Union Russet,union russet,False
Knox,Knox Co.,1880,True,Wagner,wagner,,,Wagener,wagener,False
Knox,Knox Co.,1880,True,White Rambo,white rambo,,,,,False
Knox,Knox Co.,1880,True,William's Favorite,william's favorite,Williams,williams,William's Favorite,william's favorite,False
Knox,Knox Co.,1880,True,Winter Greening,winter greening,,,,,False
Knox,Knox Co.,1880,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1880,True,Yellow Strawberry,yellow strawberry,,,Chenango Strawberry?,chenango strawberry,True
Knox,Knox Co.,1882,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1882,False,(Pear) Clapps Favorite,clapps favorite,,,,,False
Knox,Knox Co.,1882,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1882,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1882,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1882,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1882,True,Benoni,benoni,,,Benoni,benoni,False
Knox,Knox Co.,1882,True,Black Oxford,black oxford,,,Black Oxford,black oxford,False
Knox,Knox Co.,1882,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1882,True,Common Russet,common russet,,,,,False
Knox,Knox Co.,1882,True,Duchess of Oldenberg,duchess of oldenberg,"Duchess, Dutchess of Oldenburg","duchess, dutchess of oldenburg",Duchess of Oldenburg,duchess of oldenburg,False
Knox,Knox Co.,1882,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1882,True,Fletcher Sweet,fletcher sweet,,,Fletcher Sweet,fletcher sweet,False
Knox,Knox Co.,1882,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1882,True,Gravenstein,gravenstein,,,Gravenstein,gravenstein,False
Knox,Knox Co.,1882,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1882,True,Marengo Crab,marengo crab,,,,,False
Knox,Knox Co.,1882,True,Nod Head,nod head,Jewett's Red,jewett's red,Nodhead,nodhead,False
Knox,Knox Co.,1882,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1882,True,Peck's Pleasant,peck's pleasant,,,Peck Pleasant,peck pleasant,False
Knox,Knox Co.,1882,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1882,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1882,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1882,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1882,True,Russet,russet,,,,,False
Knox,Knox Co.,1882,True,Sweet Russet,sweet russet,,,,,False
Knox,Knox Co.,1882,True,Talman Sweet,talman sweet,Tallman Sweet,tallman sweet,Tolman Sweet,tolman sweet,False
Knox,Knox Co.,1882,True,Tompkins King,tompkins king,"King, King of Tompkin's Co., ","king, king of tompkin's co.,",King of Tompkins County,king of tompkins county,False
Knox,Knox Co.,1882,True,Twenty Ounce,twenty ounce,,,Twenty Ounce,twenty ounce,False
Knox,Knox Co.,1882,True,Union Pippin,union pippin,,,Union Pippin,union pippin,False
Knox,Knox Co.,1882,True,Wagner,wagner,,,Wagener,wagener,False
Knox,Knox Co.,1882,True,William's Favorite,william's favorite,Williams,williams,William's Favorite,william's favorite,False
Knox,Knox Co.,1882,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1883,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1883,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1883,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1883,True,Duchess of Oldenberg,duchess of oldenberg,"Duchess, Dutchess of Oldenburg","duchess, dutchess of oldenburg",Duchess of Oldenburg,duchess of oldenburg,False
Knox,Knox Co.,1883,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1883,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1883,True,Fletcher Sweet,fletcher sweet,,,Fletcher Sweet,fletcher sweet,False
Knox,Knox Co.,1883,True,Golden Russet,golden russet,,,,,False
Knox,Knox Co.,1883,True,Haas,haas,,,Haas,haas,False
Knox,Knox Co.,1883,True,Hard To Beat,hard to beat,,,,,False
Knox,Knox Co.,1883,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1883,True,N. Y. Greening,n. y. greening,,,,,False
Knox,Knox Co.,1883,True,Newton Pippin,newton pippin,,,,,False
Knox,Knox Co.,1883,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1883,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1883,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1883,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1883,True,Ribston Pippin,ribston pippin,Ribstone Pippin,ribstone pippin,Ribston Pippin,ribston pippin,False
Knox,Knox Co.,1883,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1883,True,Strawberry,strawberry,,,,,False
Knox,Knox Co.,1883,True,Talman Sweet,talman sweet,Tallman Sweet,tallman sweet,Tolman Sweet,tolman sweet,False
Knox,Knox Co.,1883,True,Tompkins King,tompkins king,"King, King of Tompkin's Co., ","king, king of tompkin's co.,",King of Tompkins County,king of tompkins county,False
Knox,Knox Co.,1883,True,Twenty Ounce,twenty ounce,,,Twenty Ounce,twenty ounce,False
Knox,Knox Co.,1883,True,Wagner,wagner,,,Wagener,wagener,False
Knox,Knox Co.,1883,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1884,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1884,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1884,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1884,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1884,True,Barton Pippin,barton pippin,,,,,False
Knox,Knox Co.,1884,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1884,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1884,True,Hunt's Red,hunt's red,,,,,False
Knox,Knox Co.,1884,True,McIntosh Red,mcintosh red,,,McIntosh,mcintosh,False
Knox,Knox Co.,1884,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1884,True,Thompson,thompson,,,,,False
Knox,Knox Co.,1884,True,Twenty Ounce Pippin,twenty ounce pippin,,,,,False
Knox,Knox Co.,1885,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Bosc,beurre bosc,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Clairgeau,beurre clairgeau,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Hardy,beurre hardy,,,,,False
Knox,Knox Co.,1885,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1885,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1885,False,(Pear) Clapps Favorite,clapps favorite,,,,,False
Knox,Knox Co.,1885,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1885,True,Alexandria,alexandria,,,Alexander,alexander,False
Knox,Knox Co.,1885,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1885,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1885,True,Black Oxford,black oxford,,,Black Oxford,black oxford,False
