County,Fair,Year,Event,Location,Source,Page,Notes
piscataquis,piscataquis central fair,1912.0,piscataquis central fair,foxcroft,piscataquis observer,3,premiums
piscataquis,piscataquis central fair,1894.0,piscataquis central fair,foxcroft,piscataquis observer,2,premiums
piscataquis,piscataquis central fair,1892.0,piscataquis central fair,foxcroft,piscataquis observer,3,premiums
piscataquis,piscataquis central fair,1884.0,piscataquis central fair,foxcroft,piscataquis observer,3,premiums
piscataquis,piscataquis central fair,1887.0,piscataquis central fair,,piscataquis observer,2,description
piscataquis,piscataquis central fair,1882.0,piscataquis central fair,foxcroft,piscataquis observer,2,premiums
piscataquis,piscataquis central fair,1864.0,piscataquis central fair,foxcroft,piscataquis observer,1,description
piscataquis,piscataquis central fair,1892.0,piscataquis central fair,foxcroft,maine farmer,1,premiums
piscataquis,milo,1924.0,pleasant river grange fair,milo,piscataquis observer,3,premiums
piscataquis,wellington,1890.0,wellington fair,wellington,pittsfield advertiser,2,premiums
piscataquis,wellington,1889.0,wellington fair,wellington,pittsfield advertiser,1,premiums
piscataquis,piscataquis fair,1906.0,piscataquis fair,foxcroft,piscataquis observer,3,premiums
piscataquis,piscataquis fair,1929.0,piscataquis fair,,piscataquis observer,4,premiums
piscataquis,piscataquis fair,1901.0,piscataquis fair,foxcroft,piscataquis observer,6,premiums
piscataquis,piscataquis fair,1914.0,piscataquis fair,,piscataquis observer,8,premiums
piscataquis,piscataquis fair,1910.0,piscataquis fair,,piscataquis observer,3,premiums
piscataquis,piscataquis fair,1909.0,piscataquis fair,,piscataquis observer,1,des. & prem.
piscataquis,piscataquis fair,1905.0,piscataquis fair,,piscataquis observer,2,premiums
piscataquis,piscataquis fair,1904.0,piscataquis fair,,piscataquis observer,7,premiums
piscataquis,piscataquis fair,1903.0,piscataquis fair,foxcroft,piscataquis observer,2,premiums
piscataquis,piscataquis fair,1902.0,piscataquis fair,,piscataquis observer,7,premiums
piscataquis,piscataquis fair,1854.0,piscataquis fair,dover,piscataquis observer,4,description
piscataquis,piscataquis fair,1913.0,piscataquis fair,,piscataquis observer,8,premiums
piscataquis,atkinson,1901.0,atkinson fair,atkinson mills,piscataquis observer,6,premiums
piscataquis,east dover,1901.0,east dover grange fair,east dover,piscataquis observer,4,description
