County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location
piscataquis,piscataquis central fair,1912.0,piscataquis central fair,dover-foxcroft,piscataquis observer,3,premiums,False
piscataquis,piscataquis central fair,1894.0,piscataquis central fair,dover-foxcroft,piscataquis observer,2,premiums,False
piscataquis,piscataquis central fair,1892.0,piscataquis central fair,dover-foxcroft,piscataquis observer,3,premiums,False
piscataquis,piscataquis central fair,1884.0,piscataquis central fair,dover-foxcroft,piscataquis observer,3,premiums,False
piscataquis,piscataquis central fair,1887.0,piscataquis central fair,,piscataquis observer,2,description,True
piscataquis,piscataquis central fair,1882.0,piscataquis central fair,dover-foxcroft,piscataquis observer,2,premiums,False
piscataquis,piscataquis central fair,1864.0,piscataquis central fair,dover-foxcroft,piscataquis observer,1,description,False
piscataquis,piscataquis central fair,1892.0,piscataquis central fair,dover-foxcroft,maine farmer,1,premiums,False
piscataquis,milo,1924.0,pleasant river grange fair,milo,piscataquis observer,3,premiums,False
piscataquis,wellington,1890.0,wellington fair,wellington,pittsfield advertiser,2,premiums,False
piscataquis,wellington,1889.0,wellington fair,wellington,pittsfield advertiser,1,premiums,False
piscataquis,piscataquis fair,1906.0,piscataquis fair,dover-foxcroft,piscataquis observer,3,premiums,False
piscataquis,piscataquis fair,1929.0,piscataquis fair,,piscataquis observer,4,premiums,True
piscataquis,piscataquis fair,1901.0,piscataquis fair,dover-foxcroft,piscataquis observer,6,premiums,False
piscataquis,piscataquis fair,1914.0,piscataquis fair,,piscataquis observer,8,premiums,True
piscataquis,piscataquis fair,1910.0,piscataquis fair,,piscataquis observer,3,premiums,True
piscataquis,piscataquis fair,1909.0,piscataquis fair,,piscataquis observer,1,des. & prem.,True
piscataquis,piscataquis fair,1905.0,piscataquis fair,,piscataquis observer,2,premiums,True
piscataquis,piscataquis fair,1904.0,piscataquis fair,,piscataquis observer,7,premiums,True
piscataquis,piscataquis fair,1903.0,piscataquis fair,dover-foxcroft,piscataquis observer,2,premiums,False
piscataquis,piscataquis fair,1902.0,piscataquis fair,,piscataquis observer,7,premiums,True
piscataquis,piscataquis fair,1854.0,piscataquis fair,dover,piscataquis observer,4,description,False
piscataquis,piscataquis fair,1913.0,piscataquis fair,,piscataquis observer,8,premiums,True
piscataquis,atkinson,1901.0,atkinson fair,atkinson mills,piscataquis observer,6,premiums,False
piscataquis,east dover,1901.0,east dover grange fair,east dover,piscataquis observer,4,description,False
hancock,hancock co. fair,1892.0,hancock co. fair,ellsworth,ellsworth american,2,premiums,False
hancock,hancock co. fair,1893.0,hancock co. fair,ellsworth,ellsworth american,3,premiums,False
hancock,hancock co. fair,1894.0,hancock co. fair,ellsworth,ellsworth american,2,premiums,False
hancock,hancock co. fair,1895.0,hancock co. fair,ellsworth,ellsworth american,6,premiums,False
hancock,hancock co. fair,1896.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1897.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1898.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1899.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1900.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1901.0,hancock co. fair,ellsworth,lewiston evening journal,6,premiums,False
hancock,hancock co. fair,1901.0,hancock co. fair,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. fair,1902.0,hancock co. fair,ellsworth,ellsworth american,3,premiums,False
hancock,hancock co. fair,1925.0,hancock co. fair,ellsworth,ellsworth american,3,premiums,False
hancock,franklin,1925.0,franklin grange fair,franklin,ellsworth american,4,premiums,False
hancock,penobscot,1876.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1877.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1878.0,penobscot town fair,penobscot,ellsworth american,4,premiums,False
hancock,penobscot,1879.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1881.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False
hancock,penobscot,1882.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False
hancock,penobscot,1883.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False
hancock,penobscot,1884.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1904.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1908.0,highland grange fair,north penobscot,ellsworth american,2,premiums,False
hancock,penobscot,1910.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1911.0,highland grange fair,north penobscot,ellsworth american,8,premiums,False
hancock,penobscot,1912.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1913.0,highland grange fair,north penobscot,ellsworth american,8,premiums,False
hancock,penobscot,1914.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1915.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False
hancock,penobscot,1916.0,highland grange fair,north penobscot,ellsworth american,2,premiums,False
hancock,hancock co. farm bureau,1922.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. farm bureau,1923.0,hancock co. farm bureau meeting,ellsworth,bar harbor times,4,premiums,False
hancock,hancock co. farm bureau,1923.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,3,premiums,False
hancock,hancock co. farm bureau,1924.0,hancock co. farm bureau meeting,ellsworth,bar harbor times,4,premiums,False
hancock,hancock co. farm bureau,1924.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,7,premiums,False
hancock,hancock co. farm bureau,1925.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,3,premiums,False
hancock,hancock co. farm bureau,1926.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,2,premiums,False
hancock,blue hill,1883.0,blue hill fair,blue hill,ellsworth american,2,description,False
hancock,blue hill,1893.0,blue hill fair,blue hill,ellsworth american,4,premiums,False
hancock,blue hill,1894.0,blue hill fair,blue hill,ellsworth american,6,premiums,False
hancock,blue hill,1895.0,blue hill fair,blue hill,ellsworth american,5,premiums,False
