county,fair,year,apple_type,apple_totals
Knox ,Knox Co.,1867,Pearmain,2
Knox ,Knox Co.,1867,Porter,2
Knox ,Knox Co.,1869,(Pear) Flemish Beauty,6
Knox ,Knox Co.,1869,Baldwin,6
Knox ,Knox Co.,1869,Fall Pippin,6
Knox ,Knox Co.,1869,French Russet,6
Knox ,Knox Co.,1869,Pippin,6
Knox ,Knox Co.,1869,Red Astrachan,6
Knox ,Knox Co.,1874,Baldwin,5
Knox ,Knox Co.,1874,Golden Russet,5
Knox ,Knox Co.,1874,Pippin,5
Knox ,Knox Co.,1874,Porter,5
Knox ,Knox Co.,1874,Sweet Russet,5
Knox ,Knox Co.,1876,Baldwin,11
Knox ,Knox Co.,1876,Fall Pippin,11
Knox ,Knox Co.,1876,Gale's Pippin,11
Knox ,Knox Co.,1876,Jersey Sweet,11
Knox ,Knox Co.,1876,Northern Spy,11
Knox ,Knox Co.,1876,Porter,11
Knox ,Knox Co.,1876,R. I. Greening,11
Knox ,Knox Co.,1876,Rochester Baldwin,11
Knox ,Knox Co.,1876,Russian Sweet,11
Knox ,Knox Co.,1876,Sweet Baldwin,11
Knox ,Knox Co.,1876,Watertown Sweets,11
Knox ,Knox Co.,1878,(Pear) Bonne de Jersey,19
Knox ,Knox Co.,1878,(Pear) Flemish Beauty,19
Knox ,Knox Co.,1878,(Pear) Vicar of Wakefield,19
Knox ,Knox Co.,1878,Baldwin,19
Knox ,Knox Co.,1878,Black Oxford,19
Knox ,Knox Co.,1878,Duchess of Oldenberg,19
Knox ,Knox Co.,1878,Fall Greening,19
Knox ,Knox Co.,1878,Fletcher Sweet,19
Knox ,Knox Co.,1878,Golden Russet,19
Knox ,Knox Co.,1878,Gravenstein,19
Knox ,Knox Co.,1878,Greening,19
Knox ,Knox Co.,1878,Hubbardston Nonsuch,19
Knox ,Knox Co.,1878,Nod Head,19
Knox ,Knox Co.,1878,Northern Spy,19
Knox ,Knox Co.,1878,Philadelphia Pippin,19
Knox ,Knox Co.,1878,Pippin,19
Knox ,Knox Co.,1878,Porter,19
Knox ,Knox Co.,1878,Roxbury Russet,19
Knox ,Knox Co.,1878,Yellow Bellflower,19
Knox ,Knox Co.,1879,Baldwin,8
Knox ,Knox Co.,1879,Duchess of Oldenberg,8
Knox ,Knox Co.,1879,Fall Greening,8
Knox ,Knox Co.,1879,Golden Russet,8
Knox ,Knox Co.,1879,Hubbardston Nonsuch,8
Knox ,Knox Co.,1879,R. I. Greening,8
Knox ,Knox Co.,1879,Roxbury Russet,8
Knox ,Knox Co.,1879,Union Pippin,8
Knox ,Knox Co.,1880,(Pear) Flemish Beauty,58
Knox ,Knox Co.,1880,(Pear) Vicar of Wakefield,58
Knox ,Knox Co.,1880,Alexander,58
Knox ,Knox Co.,1880,Baldwin,58
Knox ,Knox Co.,1880,Ben Davis,58
Knox ,Knox Co.,1880,Black Oxford,58
Knox ,Knox Co.,1880,Blue Pearmain,58
Knox ,Knox Co.,1880,Chenango Strakeberry,58
Knox ,Knox Co.,1880,Colvert,58
Knox ,Knox Co.,1880,Fall Greening,58
Knox ,Knox Co.,1880,Fall Pippin,58
Knox ,Knox Co.,1880,Famuese,58
Knox ,Knox Co.,1880,Fletcher Sweet,58
Knox ,Knox Co.,1880,Forsett Graft,58
Knox ,Knox Co.,1880,French Russet,58
Knox ,Knox Co.,1880,Gloria Munch,58
Knox ,Knox Co.,1880,Golden Russet,58
Knox ,Knox Co.,1880,Gravenstein,58
Knox ,Knox Co.,1880,Greening,58
Knox ,Knox Co.,1880,Hart's Red,58
Knox ,Knox Co.,1880,Hilton,58
Knox ,Knox Co.,1880,Hubbardston Nonsuch,58
Knox ,Knox Co.,1880,Italian Russet,58
Knox ,Knox Co.,1880,Jeffries,58
Knox ,Knox Co.,1880,Martha Stripe,58
Knox ,Knox Co.,1880,McIntosh Red,58
Knox ,Knox Co.,1880,Moore's Sweet,58
Knox ,Knox Co.,1880,Mother,58
Knox ,Knox Co.,1880,Mountain Sweet,58
Knox ,Knox Co.,1880,N. Y. Greening,58
Knox ,Knox Co.,1880,N. Y. Pippin,58
Knox ,Knox Co.,1880,Newtown Pippin,58
Knox ,Knox Co.,1880,Nod Head,58
Knox ,Knox Co.,1880,Northern Spy,58
Knox ,Knox Co.,1880,Pearmain,58
Knox ,Knox Co.,1880,Philadelphia Pippin,58
Knox ,Knox Co.,1880,Pippin,58
Knox ,Knox Co.,1880,Porter,58
Knox ,Knox Co.,1880,R. I. Greening,58
Knox ,Knox Co.,1880,Red Bellflower,58
Knox ,Knox Co.,1880,Red Winter,58
Knox ,Knox Co.,1880,Roxbury Russet,58
Knox ,Knox Co.,1880,Russet,58
Knox ,Knox Co.,1880,Sherwood's Favorite,58
Knox ,Knox Co.,1880,Spice,58
Knox ,Knox Co.,1880,Spitzbergen,58
Knox ,Knox Co.,1880,Striped Pippin,58
Knox ,Knox Co.,1880,Summer Sweet,58
Knox ,Knox Co.,1880,Talman Sweet,58
Knox ,Knox Co.,1880,Tompkins King,58
Knox ,Knox Co.,1880,Twenty Ounce,58
Knox ,Knox Co.,1880,Union Russet,58
Knox ,Knox Co.,1880,Wagner,58
Knox ,Knox Co.,1880,White Rambo,58
Knox ,Knox Co.,1880,William's Favorite,58
Knox ,Knox Co.,1880,Winter Greening,58
Knox ,Knox Co.,1880,Yellow Bellflower,58
Knox ,Knox Co.,1880,Yellow Strawberry,58
Knox ,Knox Co.,1882,(Pear) Buerre de Anjou,33
Knox ,Knox Co.,1882,(Pear) Clapps Favorite,33
Knox ,Knox Co.,1882,(Pear) Vicar of Wakefield,33
